Path	Sample Name	Phenotype	Cell ID	Total Cells	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus CD90 (Opal 520) Min (Normalized Counts, Total Weighting)	Nucleus CD90 (Opal 520) Mean (Normalized Counts, Total Weighting)	Nucleus CD90 (Opal 520) Max (Normalized Counts, Total Weighting)	Nucleus CD90 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	Nucleus CD90 (Opal 520) Total (Normalized Counts, Total Weighting)	Nucleus CD34 (Opal 690) Min (Normalized Counts, Total Weighting)	Nucleus CD34 (Opal 690) Mean (Normalized Counts, Total Weighting)	Nucleus CD34 (Opal 690) Max (Normalized Counts, Total Weighting)	Nucleus CD34 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	Nucleus CD34 (Opal 690) Total (Normalized Counts, Total Weighting)	Nucleus CD38 (Opal 670) Min (Normalized Counts, Total Weighting)	Nucleus CD38 (Opal 670) Mean (Normalized Counts, Total Weighting)	Nucleus CD38 (Opal 670) Max (Normalized Counts, Total Weighting)	Nucleus CD38 (Opal 670) Std Dev (Normalized Counts, Total Weighting)	Nucleus CD38 (Opal 670) Total (Normalized Counts, Total Weighting)	Nucleus Nuclei (DAPI Opal) Min (Normalized Counts, Total Weighting)	Nucleus Nuclei (DAPI Opal) Mean (Normalized Counts, Total Weighting)	Nucleus Nuclei (DAPI Opal) Max (Normalized Counts, Total Weighting)	Nucleus Nuclei (DAPI Opal) Std Dev (Normalized Counts, Total Weighting)	Nucleus Nuclei (DAPI Opal) Total (Normalized Counts, Total Weighting)	Nucleus Background (Autofluorescence) Min (Normalized Counts, Total Weighting)	Nucleus Background (Autofluorescence) Mean (Normalized Counts, Total Weighting)	Nucleus Background (Autofluorescence) Max (Normalized Counts, Total Weighting)	Nucleus Background (Autofluorescence) Std Dev (Normalized Counts, Total Weighting)	Nucleus Background (Autofluorescence) Total (Normalized Counts, Total Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane CD90 (Opal 520) Min (Normalized Counts, Total Weighting)	Membrane CD90 (Opal 520) Mean (Normalized Counts, Total Weighting)	Membrane CD90 (Opal 520) Max (Normalized Counts, Total Weighting)	Membrane CD90 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	Membrane CD90 (Opal 520) Total (Normalized Counts, Total Weighting)	Membrane CD34 (Opal 690) Min (Normalized Counts, Total Weighting)	Membrane CD34 (Opal 690) Mean (Normalized Counts, Total Weighting)	Membrane CD34 (Opal 690) Max (Normalized Counts, Total Weighting)	Membrane CD34 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	Membrane CD34 (Opal 690) Total (Normalized Counts, Total Weighting)	Membrane CD38 (Opal 670) Min (Normalized Counts, Total Weighting)	Membrane CD38 (Opal 670) Mean (Normalized Counts, Total Weighting)	Membrane CD38 (Opal 670) Max (Normalized Counts, Total Weighting)	Membrane CD38 (Opal 670) Std Dev (Normalized Counts, Total Weighting)	Membrane CD38 (Opal 670) Total (Normalized Counts, Total Weighting)	Membrane Nuclei (DAPI Opal) Min (Normalized Counts, Total Weighting)	Membrane Nuclei (DAPI Opal) Mean (Normalized Counts, Total Weighting)	Membrane Nuclei (DAPI Opal) Max (Normalized Counts, Total Weighting)	Membrane Nuclei (DAPI Opal) Std Dev (Normalized Counts, Total Weighting)	Membrane Nuclei (DAPI Opal) Total (Normalized Counts, Total Weighting)	Membrane Background (Autofluorescence) Min (Normalized Counts, Total Weighting)	Membrane Background (Autofluorescence) Mean (Normalized Counts, Total Weighting)	Membrane Background (Autofluorescence) Max (Normalized Counts, Total Weighting)	Membrane Background (Autofluorescence) Std Dev (Normalized Counts, Total Weighting)	Membrane Background (Autofluorescence) Total (Normalized Counts, Total Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell CD90 (Opal 520) Min (Normalized Counts, Total Weighting)	Entire Cell CD90 (Opal 520) Mean (Normalized Counts, Total Weighting)	Entire Cell CD90 (Opal 520) Max (Normalized Counts, Total Weighting)	Entire Cell CD90 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	Entire Cell CD90 (Opal 520) Total (Normalized Counts, Total Weighting)	Entire Cell CD34 (Opal 690) Min (Normalized Counts, Total Weighting)	Entire Cell CD34 (Opal 690) Mean (Normalized Counts, Total Weighting)	Entire Cell CD34 (Opal 690) Max (Normalized Counts, Total Weighting)	Entire Cell CD34 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	Entire Cell CD34 (Opal 690) Total (Normalized Counts, Total Weighting)	Entire Cell CD38 (Opal 670) Min (Normalized Counts, Total Weighting)	Entire Cell CD38 (Opal 670) Mean (Normalized Counts, Total Weighting)	Entire Cell CD38 (Opal 670) Max (Normalized Counts, Total Weighting)	Entire Cell CD38 (Opal 670) Std Dev (Normalized Counts, Total Weighting)	Entire Cell CD38 (Opal 670) Total (Normalized Counts, Total Weighting)	Entire Cell Nuclei (DAPI Opal) Min (Normalized Counts, Total Weighting)	Entire Cell Nuclei (DAPI Opal) Mean (Normalized Counts, Total Weighting)	Entire Cell Nuclei (DAPI Opal) Max (Normalized Counts, Total Weighting)	Entire Cell Nuclei (DAPI Opal) Std Dev (Normalized Counts, Total Weighting)	Entire Cell Nuclei (DAPI Opal) Total (Normalized Counts, Total Weighting)	Entire Cell Background (Autofluorescence) Min (Normalized Counts, Total Weighting)	Entire Cell Background (Autofluorescence) Mean (Normalized Counts, Total Weighting)	Entire Cell Background (Autofluorescence) Max (Normalized Counts, Total Weighting)	Entire Cell Background (Autofluorescence) Std Dev (Normalized Counts, Total Weighting)	Entire Cell Background (Autofluorescence) Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.2.6004.14667
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[40065,11722].im3	CD34	all	254	21.20					45509	0.38 %					0.000	0.181	4.686	0.143	8231.266	0.000	0.794	16.616	0.925	36113.897	0.000	0.406	4.268	0.238	18462.229	4.449	42.082	139.871	14.006	1915124.113	0.357	4.131	17.667	1.255	187977.713	19093	0.16 %					0.000	0.182	9.353	0.210	3468.265	0.000	0.806	16.041	0.765	15395.875	0.000	0.413	8.144	0.244	7888.803	0.428	12.065	126.801	7.444	230360.773	0.150	4.131	18.702	1.418	78866.136	64602	0.54 %					0.000	0.181	9.353	0.152	11699.531	0.000	0.797	16.616	0.794	51509.772	0.000	0.408	8.144	0.225	26351.032	0.000	33.211	139.871	12.111	2145484.887	0.000	4.131	18.702	1.216	266843.850		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[40065,11722].im3	CD38	all	261	21.79					48348	0.40 %					0.000	0.203	7.243	0.196	9809.257	0.000	0.075	10.081	0.198	3645.093	0.000	0.890	13.982	0.647	43053.813	6.528	43.637	135.124	10.882	2109758.017	0.377	3.767	21.253	1.042	182143.439	18915	0.16 %					0.000	0.177	13.471	0.230	3342.798	0.000	0.121	12.958	0.257	2297.530	0.000	1.026	14.848	0.695	19408.808	1.358	13.095	94.204	5.691	247697.039	0.179	4.063	18.560	1.280	76851.871	67263	0.56 %					0.000	0.196	13.471	0.197	13152.055	0.000	0.088	12.958	0.201	5942.623	0.000	0.929	14.848	0.609	62462.620	0.000	35.048	135.124	9.369	2357455.056	0.000	3.850	21.253	1.043	258995.310		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[40065,11722].im3	CD90	all	130	10.85					27101	0.23 %					0.000	0.836	19.503	0.990	22664.783	0.000	0.130	8.746	0.244	3515.082	0.000	0.388	4.595	0.202	10502.914	6.061	43.880	116.274	11.277	1189180.069	0.436	3.724	12.492	0.921	100911.394	9728	0.08 %					0.000	0.817	25.246	1.024	7950.655	0.000	0.200	14.858	0.379	1942.258	0.000	0.430	7.927	0.251	4186.116	1.516	14.995	94.344	8.354	145866.847	0.183	3.965	18.130	1.118	38569.705	36829	0.31 %					0.000	0.831	25.246	0.951	30615.438	0.000	0.148	14.858	0.270	5457.340	0.000	0.399	7.927	0.201	14689.030	0.000	36.250	116.274	10.333	1335046.915	0.000	3.787	18.130	0.915	139481.099		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[40065,11722].im3	DAPI	all	2743	228.97					448217	3.74 %					0.000	0.089	2.295	0.071	39995.418	0.000	0.053	4.302	0.045	23753.386	0.000	0.271	3.097	0.129	121509.525	4.656	38.366	147.666	13.219	17196189.075	0.232	4.093	27.682	1.780	1834756.997	213536	1.78 %					0.000	0.073	14.042	0.087	15520.388	0.000	0.062	13.588	0.110	13241.585	0.000	0.261	10.715	0.154	55775.180	0.000	10.108	126.801	5.978	2158436.960	0.146	4.495	26.801	2.152	959852.362	661753	5.52 %					0.000	0.084	14.042	0.070	55515.806	0.000	0.056	13.588	0.057	36994.971	0.000	0.268	10.715	0.127	177284.704	0.000	29.248	147.666	10.716	19354626.034	0.000	4.223	27.682	1.797	2794609.359		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[40065,11722].im3	All	all	3388	282.81					569175	4.75 %					0.000	0.142	19.503	0.257	80700.724	0.000	0.118	16.616	0.334	67027.458	0.000	0.340	13.982	0.290	193528.481	4.449	39.373	147.666	13.164	22410251.273	0.232	4.051	27.682	1.675	2305789.544	261272	2.18 %					0.000	0.116	25.246	0.273	30282.106	0.000	0.126	16.041	0.324	32877.248	0.000	0.334	14.848	0.333	87258.906	0.000	10.649	126.801	6.334	2782361.619	0.146	4.417	26.801	2.026	1154140.074	830447	6.93 %					0.000	0.134	25.246	0.252	110982.830	0.000	0.120	16.616	0.311	99904.706	0.000	0.338	14.848	0.289	280787.386	0.000	30.336	147.666	10.914	25192612.892	0.000	4.166	27.682	1.690	3459929.618		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60604,11769].im3	CD34	all	100	8.347					16800	0.14 %					0.000	0.182	2.245	0.118	3058.141	0.000	0.420	12.859	0.574	7049.316	0.000	0.343	2.824	0.184	5770.430	1.980	28.361	93.254	8.209	476463.934	0.269	2.767	19.998	1.548	46488.935	6632	0.06 %					0.000	0.166	5.586	0.144	1101.363	0.000	0.393	13.095	0.400	2607.767	0.000	0.354	3.755	0.245	2348.912	0.000	8.357	66.022	4.991	55421.551	0.114	2.664	26.520	1.797	17667.826	23432	0.20 %					0.000	0.178	5.586	0.120	4159.504	0.000	0.412	13.095	0.473	9657.083	0.000	0.347	3.755	0.190	8119.342	0.000	22.699	93.254	6.982	531885.485	0.000	2.738	26.520	1.547	64156.761		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60604,11769].im3	CD38	all	232	19.37					47737	0.40 %					0.000	0.216	3.364	0.143	10303.793	0.000	0.028	3.168	0.036	1332.036	0.000	0.749	11.936	0.562	35738.355	3.207	29.312	91.130	7.987	1399264.119	0.267	1.810	11.750	0.724	86419.772	15632	0.13 %					0.000	0.196	6.427	0.133	3061.065	0.000	0.028	2.706	0.042	442.271	0.000	0.996	17.100	0.798	15562.990	0.000	9.931	62.117	5.288	155237.519	0.095	1.879	13.155	0.798	29378.299	63369	0.53 %					0.000	0.211	6.427	0.134	13364.859	0.000	0.028	3.168	0.036	1774.306	0.000	0.810	17.100	0.589	51301.345	0.000	24.531	91.130	6.996	1554501.638	0.000	1.827	13.155	0.721	115798.071		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60604,11769].im3	CD90	all	357	29.80					77514	0.65 %					0.000	0.715	27.303	1.126	55408.793	0.000	0.038	1.458	0.038	2944.062	0.000	0.225	2.892	0.116	17450.276	3.888	32.955	110.410	10.622	2554478.748	0.236	1.935	12.558	0.919	150022.329	23065	0.19 %					0.000	0.830	28.311	1.508	19154.393	0.000	0.042	1.644	0.041	975.179	0.000	0.263	5.886	0.161	6058.808	0.000	13.680	107.758	7.545	315535.457	0.108	2.134	13.782	1.036	49220.475	100579	0.84 %					0.000	0.741	28.311	1.204	74563.186	0.000	0.039	1.644	0.038	3919.241	0.000	0.234	5.886	0.122	23509.084	0.000	28.535	110.410	9.660	2870014.205	0.000	1.981	13.782	0.936	199242.804		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60604,11769].im3	DAPI	all	8908	743.57					1706912	14.25 %					0.000	0.152	3.337	0.097	259762.078	0.000	0.034	2.294	0.029	57458.387	0.000	0.200	3.218	0.075	342001.929	0.843	30.861	156.753	9.333	52677491.096	0.140	1.818	23.365	0.978	3103227.703	596757	4.98 %					0.000	0.153	7.990	0.124	91043.171	0.000	0.037	9.065	0.039	22032.558	0.000	0.218	15.201	0.111	130341.865	0.000	11.061	107.758	6.516	6600628.836	0.013	1.917	28.884	0.984	1144037.780	2303669	19.23 %					0.000	0.152	7.990	0.100	350805.248	0.000	0.035	9.065	0.029	79490.945	0.000	0.205	15.201	0.079	472343.795	0.000	25.732	156.753	8.451	59278119.932	0.000	1.844	28.884	0.935	4247265.483		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60604,11769].im3	All	all	9597	801.09					1848963	15.43 %					0.000	0.178	27.303	0.262	328532.804	0.000	0.037	12.859	0.075	68783.800	0.000	0.217	11.936	0.147	400960.990	0.843	30.886	156.753	9.354	57107697.898	0.140	1.831	23.365	0.984	3386158.739	642086	5.36 %					0.000	0.178	28.311	0.341	114359.992	0.000	0.041	13.095	0.066	26057.775	0.000	0.240	17.100	0.210	154312.575	0.000	11.099	107.758	6.545	7126823.363	0.013	1.932	28.884	0.998	1240304.380	2491049	20.79 %					0.000	0.178	28.311	0.278	442892.796	0.000	0.038	13.095	0.067	94841.575	0.000	0.223	17.100	0.157	555273.565	0.000	25.786	156.753	8.474	64234521.261	0.000	1.857	28.884	0.944	4626463.118		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60885,17455].im3	CD34	all	111	9.265					18224	0.15 %					0.000	0.110	3.788	0.135	2002.361	0.000	0.693	12.617	0.781	12630.201	0.000	0.384	3.349	0.355	6996.246	2.856	29.411	113.402	9.504	535988.565	0.208	3.861	20.628	2.042	70367.007	7649	0.06 %					0.000	0.109	6.167	0.149	836.972	0.000	0.664	13.169	0.784	5078.309	0.000	0.377	7.377	0.359	2880.738	0.000	6.901	92.195	4.296	52781.989	0.097	3.262	29.211	1.958	24952.086	25873	0.22 %					0.000	0.110	6.167	0.130	2839.333	0.000	0.684	13.169	0.736	17708.510	0.000	0.382	7.377	0.352	9876.984	0.000	22.756	113.402	8.014	588770.554	0.000	3.684	29.211	1.946	95319.093		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60885,17455].im3	CD38	all	152	12.69					26157	0.22 %					0.000	0.153	3.703	0.130	4003.426	0.000	0.068	10.582	0.242	1776.942	0.000	1.075	11.967	0.629	28128.944	2.990	27.382	87.256	8.457	716219.637	0.280	2.515	17.550	1.120	65795.317	10760	0.09 %					0.000	0.119	4.985	0.158	1281.708	0.000	0.103	12.930	0.261	1107.944	0.000	1.208	14.308	0.894	13002.770	0.000	6.871	70.411	3.689	73930.253	0.125	2.596	36.029	1.298	27933.381	36917	0.31 %					0.000	0.143	4.985	0.129	5285.135	0.000	0.078	12.930	0.238	2884.886	0.000	1.114	14.308	0.656	41131.713	0.000	21.403	87.256	7.036	790149.891	0.000	2.539	36.029	1.071	93728.698		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60885,17455].im3	CD90	all	58	4.84					11605	0.10 %					0.000	0.692	22.264	1.483	8031.380	0.000	0.060	2.206	0.051	695.823	0.000	0.306	2.332	0.147	3547.778	3.639	28.866	83.231	8.001	334989.312	0.412	2.358	11.407	0.757	27364.076	4026	0.03 %					0.000	0.709	21.919	1.674	2856.108	0.000	0.124	12.430	0.211	499.479	0.000	0.352	2.945	0.172	1418.071	0.000	9.736	66.111	5.676	39198.787	0.167	2.676	13.912	0.887	10773.662	15631	0.13 %					0.000	0.697	22.264	1.523	10887.488	0.000	0.076	12.430	0.086	1195.303	0.000	0.318	2.945	0.148	4965.850	0.000	23.939	83.231	6.879	374188.100	0.000	2.440	13.912	0.726	38137.739		MP-H2O2-4	0	0	0	0		
D:\Data\Vectra3\Park multiplex\MP-H2O2-4\Scan1\MSI	MP-H2O2-4_[60885,17455].im3	DAPI	all	3373	281.55					572005	4.77 %					0.000	0.091	3.423	0.078	52319.939	0.000	0.053	4.308	0.050	30508.155	0.000	0.290	2.946	0.147	165620.774	0.000	27.530	127.353	9.032	15747380.967	0.145	2.560	27.107	1.401	1464231.174	247476	2.07 %					0.000	0.080	15.817	0.087	19720.949	0.000	0.056	13.169	0.083	13875.484	0.000	0.299	15.842	0.189	73959.299	0.000	6.863	92.195	4.455	1698359.158	0.000	2.709	32.508	1.506	670332.201	819481	6.84 %					0.000	0.088	15.817	0.077	72040.888	0.000	0.054	13.169	0.053	44383.639	0.000	0.292	15.842	0.153	239580.073	0.000	21.289	127.353	7.487	17445740.125	0.000	2.605	32.508	1.344	2134563.375		MP-H2O2-4	0	0	0	0		
